,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1707,2024-09-03,7.63347582649761,5.382241849772693,10.617689583014947,5.295129798773929,10.066366506906135,0.36054298968882487,0.36054298968882487,0.36054298968882487,0.07044047010650951,0.07044047010650951,0.07044047010650951,0.2901025195823153,0.2901025195823153,0.2901025195823153,0.0,0.0,0.0,7.9940188161864345
1708,2024-09-04,7.627561649652251,5.382469798683727,10.680907020234306,5.271610068198226,10.078808204377076,0.38180607567917746,0.38180607567917746,0.38180607567917746,0.06355527524254542,0.06355527524254542,0.06355527524254542,0.318250800436632,0.318250800436632,0.318250800436632,0.0,0.0,0.0,8.009367725331428
1709,2024-09-05,7.621647472806893,5.2209070190241675,10.627790941545362,5.248108420170539,10.091570868369308,0.3576593035868608,0.3576593035868608,0.3576593035868608,0.01611139299432327,0.01611139299432327,0.01611139299432327,0.34154791059253753,0.34154791059253753,0.34154791059253753,0.0,0.0,0.0,7.979306776393753
1710,2024-09-06,7.615733295961532,5.228405426540901,10.74124792280615,5.22460677214285,10.101065041241723,0.33081856485682715,0.33081856485682715,0.33081856485682715,-0.02907775830873254,-0.02907775830873254,-0.02907775830873254,0.3598963231655597,0.3598963231655597,0.3598963231655597,0.0,0.0,0.0,7.946551860818359
1711,2024-09-07,7.609819119116174,5.1283337542970315,10.564871948363898,5.201105124115162,10.104660644872242,0.2676702971176318,0.2676702971176318,0.2676702971176318,-0.10563033901096706,-0.10563033901096706,-0.10563033901096706,0.3733006361285988,0.3733006361285988,0.3733006361285988,0.0,0.0,0.0,7.877489416233805
1712,2024-09-08,7.603904942270816,5.173402622615738,10.670274307110217,5.184810966518981,10.11252485136386,0.26950415480106166,0.26950415480106166,0.26950415480106166,-0.11236391594499168,-0.11236391594499168,-0.11236391594499168,0.3818680707460533,0.3818680707460533,0.3818680707460533,0.0,0.0,0.0,7.873409097071877
1713,2024-09-09,7.5979907654254575,5.280898642290046,10.735653452279756,5.1739962255813525,10.122284661063663,0.4827712028395589,0.4827712028395589,0.4827712028395589,0.09696487492115534,0.09696487492115534,0.09696487492115534,0.3858063279184036,0.3858063279184036,0.3858063279184036,0.0,0.0,0.0,8.080761968265016
1714,2024-09-10,7.592076588580098,5.314212307525206,10.852585609623588,5.163181484643723,10.130002415965029,0.4558592935789268,0.4558592935789268,0.4558592935789268,0.07044047010649762,0.07044047010649762,0.07044047010649762,0.3854188234724291,0.3854188234724291,0.3854188234724291,0.0,0.0,0.0,8.047935882159026
1715,2024-09-11,7.586162411734739,5.372028566593274,10.731889092960158,5.152366743706094,10.128388105814782,0.44465267364463207,0.44465267364463207,0.44465267364463207,0.06355527524264434,0.06355527524264434,0.06355527524264434,0.3810973984019877,0.3810973984019877,0.3810973984019877,0.0,0.0,0.0,8.03081508537937
1716,2024-09-12,7.58024823488938,5.492156569735639,10.74281171567844,5.131081379042712,10.133634608237125,0.38942406586498424,0.38942406586498424,0.38942406586498424,0.016111392994403853,0.016111392994403853,0.016111392994403853,0.37331267287058045,0.37331267287058045,0.37331267287058045,0.0,0.0,0.0,7.969672300754365
