,segmento,n_seg_grupo,n_seg,n_grupo,total,per_grupo_seg,per_grupo_total,diferenca,diferenca_abs,faixa_propensao
13919,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento C avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet,106,119,154814,207177,0.8907563025210085,0.747254762835643,0.1435015396853655,0.1435015396853655,0. Grupo com propensão inf a 1%
10641,- A tempo_aprovacao flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet B nr_trans_mov_conta nr_purchases_online,57,64,154814,207177,0.890625,0.747254762835643,0.14337023716435704,0.14337023716435704,0. Grupo com propensão inf a 1%
49610,- D tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet nr_trans_mov_conta nr_purchases_online,57,64,154814,207177,0.890625,0.747254762835643,0.14337023716435704,0.14337023716435704,0. Grupo com propensão inf a 1%
27466,- D tempo_aprovacao A flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet nr_trans_mov_conta,57,64,154814,207177,0.890625,0.747254762835643,0.14337023716435704,0.14337023716435704,0. Grupo com propensão inf a 1%
3887,- C tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento B avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,122,137,154814,207177,0.8905109489051095,0.747254762835643,0.14325618606946655,0.14325618606946655,0. Grupo com propensão inf a 1%
200,- A tempo_aprovacao flag_autonomo dias_atraso B tempo_relacionamento D avg_vl_total_spending nr_declared_income ganho_limite,61,330,8638,207177,0.18484848484848485,0.041693817363896574,0.14315466748458827,0.14315466748458827,2. Grupo com propensão inf a 8%
30286,- D tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento C avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet nr_trans_mov_conta,73,82,154814,207177,0.8902439024390244,0.747254762835643,0.14298913960338144,0.14298913960338144,0. Grupo com propensão inf a 1%
9882,- C tempo_aprovacao A flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente share_of_wallet,73,82,154814,207177,0.8902439024390244,0.747254762835643,0.14298913960338144,0.14298913960338144,0. Grupo com propensão inf a 1%
57,- A tempo_aprovacao flag_autonomo dias_atraso B tempo_relacionamento avg_vl_total_spending C nr_declared_income ganho_limite,130,704,8638,207177,0.1846590909090909,0.041693817363896574,0.14296527354519434,0.14296527354519434,2. Grupo com propensão inf a 8%
2477,- B tempo_aprovacao A flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite flag_limite_insuficiente,69,374,8638,207177,0.18449197860962566,0.041693817363896574,0.14279816124572908,0.14279816124572908,2. Grupo com propensão inf a 8%
3256,- C tempo_aprovacao flag_autonomo A dias_atraso tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,89,100,154814,207177,0.89,0.747254762835643,0.14274523716435705,0.14274523716435705,0. Grupo com propensão inf a 1%
406,- A tempo_aprovacao flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,142,770,8638,207177,0.18441558441558442,0.041693817363896574,0.14272176705168785,0.14272176705168785,2. Grupo com propensão inf a 8%
1958,- B tempo_aprovacao A flag_autonomo dias_atraso tempo_relacionamento avg_vl_total_spending C nr_declared_income ganho_limite flag_limite_insuficiente,66,358,8638,207177,0.18435754189944134,0.041693817363896574,0.14266372453554477,0.14266372453554477,2. Grupo com propensão inf a 8%
405,- A tempo_aprovacao flag_autonomo dias_atraso D tempo_relacionamento avg_vl_total_spending nr_declared_income ganho_limite,148,770,10279,207177,0.19220779220779222,0.049614580769100816,0.14259321143869141,0.14259321143869141,1. Grupo com propensão inf a 3%
11678,- C tempo_aprovacao flag_autonomo A dias_atraso tempo_relacionamento D avg_vl_total_spending nr_declared_income ganho_limite B flag_limite_insuficiente share_of_wallet,105,118,154814,207177,0.8898305084745762,0.747254762835643,0.14257574563893327,0.14257574563893327,0. Grupo com propensão inf a 1%
