,flag_mgm,flag_mgm
,mean,count
segmento_v1,,
CABBCAAB,0.0013468013468013469,2970
CABBCABA,0.0,1
CABBCABB,0.0,14
CABBCBAA,0.0,245
CABBCBAB,0.0008403361344537816,1190
CABBCBBB,0.0,12
CABBCCAA,0.0,445
CABBCCAB,0.003362757461118117,2379
CABBCCBA,0.0,3
CABBCCBB,0.0,5
CBAAAAAA,0.00510204081632653,196
CBAAAAAB,0.0,680
CBAAAABA,0.041666666666666664,24
CBAAAABB,0.0,81
CBAAABAA,0.0,25
CBAAABAB,0.007936507936507936,126
CBAAABBA,0.0,2
CBAAABBB,0.0,24
CBAAACAA,0.041666666666666664,24
CBAAACAB,0.0,153
CBAAACBA,0.0,4
CBAAACBB,0.1111111111111111,9
CBAABAAA,0.0018867924528301887,530
CBAABAAB,0.0021598272138228943,1852
CBAABABA,0.0,83
CBAABABB,0.0031446540880503146,318
CBAABBAA,0.011494252873563218,87
CBAABBAB,0.0020491803278688526,488
CBAABBBA,0.0,5
CBAABBBB,0.0,77
CBAABCAA,0.01818181818181818,165
CBAABCAB,0.006153846153846154,975
CBAABCBA,0.0,5
CBAABCBB,0.038461538461538464,52
CBAACAAA,0.0,311
CBAACAAB,0.002859866539561487,1049
CBAACABA,0.013513513513513514,74
CBAACABB,0.0,352
CBAACBAA,0.0,52
CBAACBAB,0.003952569169960474,253
CBAACBBA,0.0,14
CBAACBBB,0.0,107
CBAACCAA,0.0,99
CBAACCAB,0.0,572
CBAACCBA,0.0,17
CBAACCBB,0.029069767441860465,172
CBABAAAA,0.0,1
CBABAAAB,0.0,6
CBABABAA,0.0,2
CBABABAB,0.2,5
CBABABBB,0.0,3
CBABACAA,0.0,3
CBABACAB,0.0,5
CBABACBB,0.0,1
CBABBAAA,0.0,7
CBABBAAB,0.0,34
CBABBABA,0.0,1
CBABBABB,0.0,11
CBABBBAA,0.0,3
CBABBBAB,0.0,13
CBABBBBA,0.0,1
CBABBBBB,0.0,7
CBABBCAA,0.0,7
CBABBCAB,0.029411764705882353,34
CBABBCBA,0.5,2
CBABBCBB,0.0,12
CBABCAAA,0.0,6
CBABCAAB,0.02,50
CBABCABA,0.0,12
CBABCABB,0.0,27
CBABCBAA,0.0,4
CBABCBAB,0.0,23
CBABCBBA,0.0,4
CBABCBBB,0.0,23
CBABCCAA,0.07692307692307693,13
CBABCCAB,0.01818181818181818,55
CBABCCBA,0.16666666666666666,6
CBABCCBB,0.09876543209876543,81
CBBAAAAA,0.02586206896551724,116
CBBAAAAB,0.0066815144766146995,449
CBBAAABA,0.0,6
CBBAAABB,0.0,18
CBBAABAA,0.05263157894736842,19
CBBAABAB,0.0,80
CBBAABBA,0.0,1
CBBAABBB,0.0,6
CBBAACAA,0.02197802197802198,91
CBBAACAB,0.014319809069212411,419
CBBAACBB,0.07142857142857142,14
CBBABAAA,0.016728624535315983,2152
CBBABAAB,0.014421838784445017,7766
CBBABABA,0.0,35
CBBABABB,0.014925373134328358,134
CBBABBAA,0.01639344262295082,183
CBBABBAB,0.01092896174863388,915
CBBABBBA,0.0,5
CBBABBBB,0.03333333333333333,30
CBBABCAA,0.012646370023419205,2135
CBBABCAB,0.015767407947502733,10972
CBBABCBA,0.0,20
CBBABCBB,0.04,125
CBBACAAA,0.00839585566273669,5598
CBBACAAB,0.007268353900857561,19124
CBBACABA,0.016,125
CBBACABB,0.020876826722338204,479
CBBACBAA,0.003355704697986577,298
CBBACBAB,0.003694581280788177,1624
CBBACBBA,0.0,10
CBBACBBB,0.011904761904761904,84
CBBACCAA,0.005593536357986327,3218
CBBACCAB,0.00740354535974974,19180
CBBACCBA,0.0547945205479452,73
CBBACCBB,0.05333333333333334,525
CBBBAAAA,0.0,8
CBBBAAAB,0.023809523809523808,42
CBBBAABA,1.0,1
CBBBAABB,0.0,1
CBBBABAA,0.0,3
CBBBABAB,0.07692307692307693,13
CBBBACAA,0.0,23
CBBBACAB,0.0641025641025641,78
CBBBACBB,0.0,4
CBBBBAAA,0.02494802494802495,481
CBBBBAAB,0.021003500583430573,1714
CBBBBABA,0.0,17
CBBBBABB,0.017543859649122806,57
CBBBBBAA,0.0,55
CBBBBBAB,0.024475524475524476,286
CBBBBBBA,0.0,2
CBBBBBBB,0.043478260869565216,23
CBBBBCAA,0.020869565217391306,575
CBBBBCAB,0.031084861672365557,3217
CBBBBCBA,0.0,15
CBBBBCBB,0.04597701149425287,87
CBBBCAAA,0.013691931540342298,2045
CBBBCAAB,0.009438909281594127,7628
CBBBCABA,0.01904761904761905,105
CBBBCABB,0.015184381778741865,461
CBBBCBAA,0.004784688995215311,209
CBBBCBAB,0.00946969696969697,1056
CBBBCBBA,0.0,21
CBBBCBBB,0.04285714285714286,140
CBBBCCAA,0.010292524377031419,1846
CBBBCCAB,0.013128112267994568,11045
CBBBCCBA,0.05454545454545454,110
CBBBCCBB,0.09959349593495935,984
