dt_mes,hierarquia_1,hierarquia_4,clientes_cx,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,montante_ltv,media_ltv,mediana_ltv,clientes_rentaveis_total,perc_recorte,perc_churn_recorte,perc_recuperacao_churn
2023-05-01,Marketplace,Problemas com a compra,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765592,0.0,0.0,0.0
2023-02-01,Tecnologia,Fechamento Fatura,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-04-01,Conta,Gerar fatura,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-06-01,Tecnologia,Rastreio de cartão,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-04-01,Fraude,Pagamento de Boleto,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-01-01,Marketplace,Problema no recebimento do cartão,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-06-01,Marketplace,Segunda via cartão,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-06-01,Conta,Faturas futuras,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-01-01,Marketing,Segunda via cartão,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-06-01,Crédito Pessoal,Dúvidas PIX,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850274,0.0,0.0,0.0
2023-02-01,Fraude,Cancelamento de conta,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492153,0.0,0.0,0.0
2023-04-01,Crédito Pessoal,Dúvidas sobre pagamento de fatura,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656724,0.0,0.0,0.0
2023-01-01,Cartão,Chat duplicado,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-01-01,Marketplace,Gestão do Bolso/Rendimento Conta,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448099,0.0,0.0,0.0
2023-03-01,Fraude,Envio de PIX,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1586123,0.0,0.0,0.0
