dt_mes,hierarquia_1,hierarquia_4,clientes_cx,clientes_recorte_total,clientes_recorte_churn,clientes_recorte_churn_recuperados,vl_bruto_recuperados_60d,LTV_Receita_Recuperado,LT_mediano_recuperados
2023-01-01,Marketplace,Pagamento de Boleto,23,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Fraude,Assunto não identificado,30,8,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Fraude,Reenvio de cartão,15,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Dúvidas em lançamentos,7,2,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Problema no recebimento do cartão,7,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Rastreio de cartão,10,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Não entendimento fatura,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Conta,Contactless,4,1,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketing,Não entendimento fatura,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Parcelamento de compra,3,1,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Fatura duplicada,2,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Informações sobre cartão,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Fatura duplicada,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Dúvidas PIX,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Fatura duplicada,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Cartão,Não reconhecimento de compra no crédito,9107,3295,563,530,R$ 698.692,R$ 1.407.328,"36,8"
2023-03-01,Cartão,Não entendimento fatura,5527,1476,192,164,R$ 230.295,R$ 543.004,"35,9"
2023-05-01,Cartão,Gerar fatura,1081,316,45,35,R$ 33.977,R$ 146.565,"35,9"
2023-05-01,Cartão,Resultado da Proposta,427,40,9,7,R$ 16.692,R$ 51,"50,3"
2023-03-01,Conta,Envio de TED,158,42,6,5,R$ 12.507,R$ 18.036,"39,8"
2023-02-01,Marketplace,Reclamação pagamento cashback,253,55,7,5,R$ 7.174,-R$ 23,"39,9"
2023-04-01,Cartão,Desbloqueio de cartão,741,636,498,26,R$ 39.218,R$ 37.608,"36,8"
2023-03-01,Atendimento,Canais de atendimento,190,61,10,7,R$ 9.713,R$ 41.491,"36,8"
2023-06-01,Conta,Dúvidas PIX,1565,333,28,22,R$ 37.466,R$ 481.041,"47,1"
2023-06-01,Cartão,Cartão adicional,319,63,6,6,R$ 11.449,R$ 107,"37,7"
2023-06-01,Marketplace,Dúvidas Marketplace,78,25,1,1,R$ 2.540,-R$ 110,"63,9"
2023-04-01,Conta,Token SMS,9,2,2,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Não reconhecimento de recarga/título/ted,14,3,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Crédito Pessoal,Problemas com a compra,19,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Tecnologia,Fechamento Fatura,13,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Pagamento de Boleto,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Gestão de Saque,9,2,2,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Reenvio de cartão,32,8,8,0,R$ 0,R$ 0,"0,0"
2023-03-01,Fraude,Chaves PIX,5,1,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Conta,Informações sobre cartão,7,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketplace,Não entendimento fatura,24,2,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Fraude,Faturas futuras,2,1,1,1,R$ 700,R$ 10.047,"47,1"
2023-01-01,Tecnologia,Gestão do Bolso/Rendimento Conta,58,5,2,2,R$ 11.060,R$ 3.556,"37,7"
2023-02-01,Fraude,Dúvidas sobre cartão,7,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Tecnologia,Reclamação pagamento cashback,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Crédito Pessoal,Não reconhecimento de compra no crédito,18,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketplace,Rastreio de cartão,17,10,10,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Fatura duplicada,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketing,Pagamento de Boleto,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Cancelamento de compra no crédito,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketing,Dúvidas sobre pagamento de fatura,13,1,1,1,R$ 920,R$ 57,"28,4"
2023-03-01,Conta,Chat sem retorno,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Lançamentos duplicados,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Marketing,Primeiro Desbloqueio de cartão,1,2,2,0,R$ 0,R$ 0,"0,0"
2023-03-01,Conta,Desbloqueio de cartão,2,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Crédito Pessoal,Gestão do Bolso/Rendimento Conta,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Riscos 2 nivel,Vencimento fatura,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Marketing,Problemas com a compra,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Fraude,Resultado análise de fraude,966,71,9,7,R$ 11.615,R$ 246,"36,8"
2023-04-01,Cartão,Rastreio de cartão,4295,7670,7410,42,R$ 57.593,R$ 71.599,"39,0"
2023-03-01,Tecnologia,Erro Funcionalidades,4097,1166,111,100,R$ 77.955,R$ 153.223,"31,2"
2023-03-01,Cartão,Dúvidas em lançamentos,1798,508,28,23,R$ 37.092,R$ 20.762,"36,8"
2023-05-01,Cartão,Vencimento fatura,3749,728,52,50,R$ 68.152,R$ 298.392,"36,8"
2023-02-01,Cartão,Rastreio de cartão,1915,115,12,9,R$ 16.364,R$ 27.303,"39,8"
2023-02-01,Conta,Segunda via cartão,415,32,5,4,R$ 5.644,R$ 7.131,"63,9"
2023-05-01,Conta,Não reconhecimento de PIX,166,44,5,5,R$ 3.008,R$ 11.291,"31,5"
2023-02-01,Cartão,Chat sem retorno,264,39,4,4,R$ 6.526,R$ 452,"47,1"
2023-03-01,Fraude,Bloqueio de senha,130,26,2,1,R$ 100,R$ 524,"31,2"
2023-01-01,Crédito Pessoal,Informações sobre fatura,9,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Envio de TED,143,32,1,1,R$ 500,R$ 1.469,"36,8"
2023-02-01,Marketplace,Reenvio de cartão,8,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Resultado da Proposta,43,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Envio de TED,134,86,65,4,R$ 6.167,R$ 8.714,"43,6"
2023-04-01,Fraude,Assunto não identificado,19,20,20,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketing,Falsidade ideológica,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Não entendimento fatura,22,1,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Crédito Pessoal,Segunda via cartão,29,1,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Crédito Pessoal,Não reconhecimento de compra no crédito,10,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Uso do cartão de débito,21,2,1,0,R$ 0,R$ 0,"0,0"
2023-02-01,Tecnologia,Primeiro Desbloqueio de cartão,18,2,1,1,R$ 9.324,R$ 5.528,"35,9"
2023-01-01,Crédito Pessoal,Problema no recebimento do cartão,9,1,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Wallet,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketing,Gestão do Bolso/Rendimento Conta,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Conta,Gerar fatura,18,3,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Canais de atendimento,2,2,1,0,R$ 0,R$ 0,"0,0"
2023-06-01,Crédito Pessoal,Token SMS,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Fraude,Antecipação de Fatura,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Devolução,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Marketplace,Cupom,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Marketplace,Dúvidas sobre cartão,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Crédito Pessoal,Primeiro Desbloqueio de cartão,2,0,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Conta,Problema de Cadastro da proposta,1,0,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Conta,Dúvidas Conta,738,904,841,11,R$ 8.561,R$ 67.528,"36,8"
2023-01-01,Conta,Envio de PIX,3905,929,103,94,R$ 75.251,R$ 189.918,"34,6"
2023-02-01,Cartão,Cancelamento de compra no crédito,8068,2490,231,218,R$ 326.460,R$ 267.224,"36,8"
2023-03-01,Cartão,Primeiro Desbloqueio de cartão,1683,163,18,16,R$ 31.062,R$ 10.629,"36,4"
2023-04-01,Fraude,Alteração de senha,1498,1988,1686,40,R$ 32.068,R$ 46.590,"34,6"
2023-02-01,Cartão,Cartão virtual,716,123,13,12,R$ 14.227,R$ 6.162,"36,8"
2023-04-01,Tecnologia,Gestão de Extrato,64,18,10,2,R$ 600,-R$ 188,"36,6"
2023-03-01,Cartão,Vencimento fatura,3216,635,47,45,R$ 82.045,R$ 56.957,"39,8"
2023-06-01,Conta,Não reconhecimento de PIX,177,63,8,8,R$ 6.996,R$ 12.959,"35,9"
2023-03-01,Fraude,Dúvidas Conta,5,0,0,0,R$ 0,R$ 0,"0,0"
2023-01-01,Cartão,Member Get Member (MGM),312,44,5,5,R$ 3.468,R$ 26.449,"31,2"
2023-03-01,Cartão,Dúvidas sobre cartão,467,77,4,4,R$ 3.155,R$ 12.543,"42,0"
2023-05-01,Fraude,Fechamento Fatura,7,1,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Chat sem retorno,16,1,0,0,R$ 0,R$ 0,"0,0"
2023-04-01,Tecnologia,Não reconhecimento de PIX,5,1,1,0,R$ 0,R$ 0,"0,0"
2023-01-01,Conta,Dúvidas sobre cartão,9,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Riscos 2 nivel,Rastreio de cartão,3,0,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Conta,Dúvidas sobre pagamento de fatura,44,4,1,1,R$ 3.000,R$ 2.642,"35,9"
2023-01-01,Cartão,Problema de Cadastro da proposta,4,0,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Conta,Primeiro Desbloqueio de cartão,30,1,0,0,R$ 0,R$ 0,"0,0"
2023-02-01,Fraude,Não entendimento fatura,18,2,0,0,R$ 0,R$ 0,"0,0"
2023-05-01,Conta,Parcelamento de compra,11,1,0,0,R$ 0,R$ 0,"0,0"
2023-06-01,Marketplace,Recebimento de PIX,6,0,0,0,R$ 0,R$ 0,"0,0"
2023-03-01,Marketplace,Cupom,4,2,0,0,R$ 0,R$ 0,"0,0"
